"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.	"Wir haben jetzt vier Monate alte Mäuse, die nicht-diabetisch sind, die früher Diabetiker waren", fügte er hinzu.	"We now have 4 months old mice who had diabetes and now have no more," he added.
Some festivals have special camping areas for families with young children.	Manche Festivals haben spezielle Campingbereiche für Familien mit kleinen Kindern.	Einige Festivals haben spezielle Campingplätze für Familien mit kleinen Kindern.	Some festivals have special camping areas for families with small children.
If crossing the Northern Baltic in winter, check the cabin location, as going through ice causes quite horrible noise for those most affected.	Wenn Sie im Winter die nördliche Ostsee überqueren, überprüfen Sie die Lage der Kabine, da das Durchbrechen von Eis für die am stärksten Betroffenen ziemlich schrecklichen Lärm verursacht.	Überqueren Sie die Nordbaltische Ostsee im Winter, überprüfen Sie die Lage der Kabine, da durch Eis gehen verursacht ziemlich schreckliche Lärm für die am meisten betroffenen.	If you cross the northern Baltic Sea in winter, check the location of the cabin, as breaking ice for the most affected causes quite terrible noise.
Saint Petersburg cruises include time in town. Cruise passengers are exempted from visa requirements (check the terms).	Die Kreuzfahrten nach Sankt Petersburg bieten auch Zeit für einen Aufenthalt in der Stadt. Kreuzfahrtpassagiere sind von der Visumpflicht befreit (siehe Bedingungen).	Sankt Petersburg Kreuzfahrten beinhalten Zeit in der Stadt. Kreuzfahrtpassagiere sind von der Visumpflicht befreit (checken Sie die Bedingungen).	The cruises to St Petersburg also offer time for a stay in the city. Cruise passengers are exempt from the visa requirement (see conditions).
Casinos typically make many efforts to maximize time and money spent by guests. Windows and clocks are usually absent, and exits can be hard to find.	Kasinos bemühen sich in der Regel sehr darum, Gäste möglichst lange vor Ort zu halten und viel Geld ausgeben zu lassen. Es gibt in der Regel weder Fenster noch Uhren, und Ausgänge sind manchmal schwer auffindbar.	Casinos machen in der Regel viele Anstrengungen, um Zeit und Geld von den Gästen ausgegeben zu maximieren. Windows und Uhren sind in der Regel fehlen, und Ausgänge können schwer zu finden sein.	Casinos usually make great efforts to keep guests on site for as long as possible and to spend a lot of money. There are usually neither windows nor clocks, and exits are sometimes difficult to find.
They usually have special food, drink and entertainment offers, to keep guests in a good mood, and keep them at the premise.	Sie haben normalerweise ein besonderes Angebot an Speisen, Getränken und Unterhaltung, um die Gäste bei Laune zu halten und dafür zu sorgen, dass sie bleiben.	Sie haben in der Regel spezielle Speisen, Getränke und Unterhaltungsangebote, um die Gäste in guter Stimmung zu halten, und halten sie an der Prämisse.	They usually have a special offer of food, drinks and entertainment to keep guests happy and make sure they stay.
Some venues offer alcoholic beverages on the house. However, drunkenness impairs judgement, and all good gamblers know the importance of staying sober.	Einige Spielstätten bieten alkoholische Getränke kostenfrei an. Trunkenheit beeinträchtigt jedoch das Urteilsvermögen, und allen guten Spielern ist klar, wie wichtig es ist, nüchtern zu bleiben.	Einige Orte bieten alkoholische Getränke auf dem Haus. Allerdings beeinträchtigt Trunkenheit Urteilsvermögen, und alle guten Spieler wissen, wie wichtig es ist, nüchtern zu bleiben.	Some venues offer alcoholic beverages free of charge. However, drunkenness affects judgment, and all good players are aware of the importance of staying sober.
Anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.	Wer in hohen Breiten oder über Gebirgspässe fahren will, sollte mit Schnee, Eis und Temperaturen unter dem Gefrierpunkt rechnen.	Wer in hohen Breiten oder über Bergpässe fahren will, sollte die Möglichkeit von Schnee, Eis oder eisigen Temperaturen in Betracht ziehen.	If you want to drive in high latitudes or over mountain passes, you should expect snow, ice and temperatures below freezing point.
On icy and snowy roadways, friction is low and you cannot drive as if you were on bare asphalt.	Auf vereisten und verschneiten Straßen ist die Haftung gering und man kann nicht fahren, als befinde man sich auf nacktem Asphalt.	Auf eisigen und verschneiten Straßen ist die Reibung gering und man kann nicht fahren, als ob man auf bloßem Asphalt wäre.	On icy and snowy roads the adhesion is low and you cannot drive as if you are on bare asphalt.
During blizzards, enough snow to get you stuck can fall in very little time.	Bei Schneestürmen kann in sehr kurzer Zeit so viel Schnee fallen, dass man sich festfahren kann.	Während Blizzards, genug Schnee, um Sie stecken zu bekommen kann in sehr wenig Zeit fallen.	In the case of snowstorms, there can be so much snow in a very short time that you can get stuck.
Visibility may also be restricted by falling or blowing snow or by condensation or ice on vehicle windows.	Die Sichtweite kann auch durch fallenden oder umherwehenden Schnee oder durch Kondensation oder Eis auf den Fahrzeugfenstern beeinträchtigt werden.x	Die Sichtbarkeit kann auch dadurch eingeschränkt werden, dass Schnee fällt oder bläst oder durch Kondensation oder Eis auf Fahrzeugfenstern.	The visibility may also be affected by falling or sweeping snow or by condensation or ice on the vehicle windows.x
On the other hand, icy and snowy conditions are normal in many countries, and traffic goes on mostly uninterrupted all year round.	Auf der anderen Seite sind eisige und schneereiche Bedingungen in vielen Ländern normal, und der Verkehr läuft das ganze Jahr über größtenteils ununterbrochen weiter.	Auf der anderen Seite sind in vielen Ländern die eisigen und verschneiten Bedingungen normal, und der Verkehr dauert das ganze Jahr über meist ununterbrochen.	On the other hand, icy and snowy conditions are normal in many countries, and traffic continues for the most part throughout the year.
Safaris are perhaps the greatest tourism draw in Africa and the highlight for many visitors.	Safaris sind vielleicht die größte Touristenattraktion in Afrika und der Höhepunkt für viele Besucher.	Safaris sind vielleicht die größte touristische Attraktion in Afrika und das Highlight für viele Besucher.	Safaris are perhaps the biggest tourist attraction in Africa and the highlight for many visitors.
The term safari in popular use refers to overland travel to view the stunning African wildlife, particularly on savanna.	Der Begriff Safari bezeichnet im üblichen Sprachgebrauch eine Landreise, um die überwältigende afrikanische Tierwelt zu beobachten, besonders in der Savanne.	Der Begriff Safari in der populären Verwendung bezieht sich auf Landreisen, um die atemberaubende afrikanische Tierwelt zu sehen, vor allem auf Savanne.	The term safari is usually used to refer to a country trip to observe the overwhelming African wildlife, especially in the savannah.
Some animals, such as elephants and giraffes, tend to approach closely to cars and standard equipment will allow good viewing.	Einige Tiere, wie Elefanten und Giraffen, neigen dazu, sich dicht an Autos anzunähern, und die Standardausrüstung ermöglicht eine gute Sicht.	Einige Tiere, wie Elefanten und Giraffen, neigen dazu, näher an Autos und Standard-Ausrüstung wird eine gute Aussicht ermöglichen.	Some animals, such as elephants and giraffes, tend to approach close to cars, and the standard equipment allows good visibility.
Lions, cheetahs and leopards are sometimes shy and you will see them better with binoculars.	Löwen, Geparden und Leoparden sind oft scheu und Sie können sie mit einem Fernglas besser beobachten.	Löwen, Geparde und Leoparden sind manchmal schüchtern und du wirst sie mit Ferngläsern besser sehen.	Lions, cheetahs and leopards are often shy and you can watch them better with binoculars.
A walking safari (also called a "bush walk", "hiking safari", or going "footing") consists of hiking, either for a few hours or several days.	Eine Fußsafari (auch „Buschgang“, „Wandersafari“ oder „Footing“ genannt) besteht aus einer Wanderung, die entweder ein paar Stunden oder mehrere Tage dauert.	Eine Wandersafari (auch "Bush Walk", "Wandersafari" oder "Fußlaufen" genannt) besteht aus Wanderungen, entweder für ein paar Stunden oder mehrere Tage.	A foot safari (also called "Buschgang" or "Wandersafari" or "Footing") consists of a hike that takes either a few hours or several days.
The Paralympics will take place from 24 August to 5 September 2021. Some events will be held in other locations throughout Japan.	Die Paralympics werden vom 24. August bis 5. September 2021 stattfinden. Einige Veranstaltungen werden an anderen Orten in ganz Japan abgehalten.	Die Paralympics finden vom 24. August bis 5. September 2021 statt. Einige Veranstaltungen werden an anderen Orten in ganz Japan stattfinden.	The Paralympics will take place from 24 August to 5 September 2021. Some events will be held in other locations throughout Japan.
Tokyo will be the only Asian city to have hosted two summer Olympics, having hosted the games in 1964.	Tokio wird die einzige asiatische Stadt sein, die zwei olympische Sommerspiele ausgerichtet hat, nachdem sie bereits 1964 Austragungsort der Spiele war.	Tokio wird die einzige asiatische Stadt sein, die zwei Sommer-Olympiaden veranstaltet hat, nachdem die Spiele im Jahr 1964.	Tokyo will be the only Asian city to host two Olympic summer games after being the venue for the games in 1964.
If you booked your flights and accommodation for 2020 before the postponement was announced, you may have a tricky situation.	Wenn Sie Ihre Flüge und Unterkünfte für das Jahr 2020 gebucht haben, bevor die Verschiebung angekündigt wurde, könnten Sie in eine schwierige Situation geraten.	Wenn Sie Ihre Flüge und Unterkünfte für 2020 gebucht haben, bevor die Verschiebung angekündigt wurde, können Sie eine schwierige Situation haben.	If you booked your flights and accommodations for 2020 before the postponement was announced, you might be in a difficult situation.
Cancellation policies vary, but as of late March most coronavirus-based cancellation policies don't extend to July 2020, when the Olympics had been scheduled.	Die Stornierungsrichtlinien variieren, aber ab Ende März galten die meisten Stornierungsrichtlinien wegen des Coronavirus nicht bis zum Juli 2020, für den die Olympischen Spiele geplant waren.	Stornierungsbedingungen variieren, aber ab Ende März die meisten Coronavirus-basierten Stornierungspolitiken nicht bis Juli 2020, wenn die Olympischen Spiele geplant waren.	Cancellation policies vary, but from the end of March, most cancellation policies due to the Corona virus did not apply until July 2020, for which the Olympic Games were planned.
It's expected that most event tickets will cost between ¥2,500 and ¥130,000, with typical tickets costing around ¥7,000.	Man geht davon aus, dass die meisten Tickets für die Veranstaltung zwischen 2.500¥ und 130.000¥ kosten werden, ein durchschnittliches Ticket ungefähr 7.000¥.	Es wird erwartet, dass die meisten Event-Tickets zwischen ¥2.500 und ¥130.000 kosten, wobei typische Tickets rund ¥7.000 kosten.	It is expected that most tickets for the event will cost between 2,500¥ and 130,000¥, an average ticket of about 7,000¥.
Ironing damp clothes can help them dry. Many hotels have an iron and ironing board available for loan, even if one is not present in the room.	Feuchte Kleidung zu bügeln kann beim Trocknen helfen. Viele Hotels verleihen Bügeleisen und Bügelbrett, auch wenn man man nicht im Zimmer anwesend ist.	Bügeln feuchte Kleidung kann ihnen helfen, trocken. Viele Hotels haben ein Bügeleisen und Bügelbrett für Darlehen zur Verfügung, auch wenn man nicht im Zimmer vorhanden ist.	Ironing damp clothes can help with drying. Many hotels lend iron and ironing board, even if you are not present in the room.
If an iron isn't available, or if you don't fancy wearing ironed socks, then you can try using a hairdryer, if available.	Wenn kein Bügeleisen verfügbar ist oder man keine gebügelten Socken tragen will, kann man versuchen, einen Föhn zu verwenden, falls einer vorhanden ist.	Wenn ein Eisen nicht verfügbar ist, oder wenn Sie nicht Lust mit gebügelten Socken, dann können Sie versuchen, mit einem Haartrockner, wenn verfügbar.	If there is no iron available or if you do not want to wear ironed socks, you can try using a hair dryer if one is available.
Be careful not to allow fabric to become too hot (which can cause shrinkage, or in extreme cases, scorch).	Geben Sie acht, dass der Stoff nicht zu heiß wird (das kann ihn schrumpfen lassen oder in extremen Fällen zu Verbrennungen führen).	Achten Sie darauf, dass der Stoff nicht zu heiß wird (was Schrumpfung verursachen kann, oder in extremen Fällen, Schlacke).	Make sure that the substance does not get too hot (which can cause it to shrink or cause burns in extreme cases).
There are different ways of purifying water, some more effective against specific threats.	Zur Reinigung von Wasser gibt es verschiedene Verfahren. Einige davon erweisen sich als wirksamer, um bestimmten Gefahren entgegenzuwirken.	Es gibt verschiedene Möglichkeiten zur Reinigung von Wasser, einige wirksamer gegen spezifische Bedrohungen.	There are various procedures for the purification of water, some of which are more effective to counteract certain hazards.
In some areas boiling water for a minute is enough, in others several minutes are needed.	In einigen Gebieten genügt es, Wasser eine Minute lang abzukochen, in anderen müssen es mehrere Minuten sein.	In einigen Gebieten ist kochendes Wasser für eine Minute genug, in anderen werden mehrere Minuten benötigt.	In some areas it is enough to boil water for one minute, in others it must be several minutes.
Filters vary in effectiveness, and should you have a concern, then you should consider buying your water in a sealed bottle from a reputable company.	Die Wirksamkeit von Filtern variiert stark, und wenn Sie Bedenken haben, dann sollten Sie erwägen, Ihr Wasser in einer versiegelten Flasche von einem seriösen Unternehmen zu kaufen.	Filter variieren in der Wirksamkeit, und sollten Sie ein Anliegen haben, dann sollten Sie erwägen, Ihr Wasser in einer versiegelten Flasche von einem seriösen Unternehmen zu kaufen.	The effectiveness of filters varies greatly, and if you have concerns, then you should consider buying your water in a sealed bottle from a reputable company.
Travellers may encounter animal pests that they are not familiar with in their home regions.	Reisende können auf tierische Schädlinge stoßen, die sie aus ihren Heimatregionen nicht kennen.	Reisende können auf Tierschädlinge stoßen, mit denen sie in ihren Heimatregionen nicht vertraut sind.	Travellers can encounter animal pests that they do not know from their home regions.
Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.	Ungeziefer kann Nahrungsmittel zerstören, Reizungen hervorrufen oder schlimmstenfalls sogar allergische Reaktionen auslösen, Gift verabreichen oder Krankheiten übertragen.	Schädlinge können Lebensmittel verderben, Reizungen verursachen oder im schlimmsten Fall allergische Reaktionen hervorrufen, Gift verbreiten oder Infektionen übertragen.	Vermins can destroy food, cause irritation or, at worst, even cause allergic reactions, administer poison or transmit diseases.
Infectious diseases themselves, or dangerous animals that can injure or kill people by force, do not usually qualify as pests.	Infektionskrankheiten als solche oder gefährliche Tiere, die Menschen mit Gewalt verletzen oder töten können, werden gewöhnlich nicht als Ungeziefer eingestuft.	Infektionskrankheiten selbst oder gefährliche Tiere, die Menschen durch Gewalt verletzen oder töten können, gelten in der Regel nicht als Schädlinge.	Infectious diseases as such or dangerous animals that can harm or kill people by force are usually not classified as vermin.
Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.	Zollfreies Einkaufen ist die Möglichkeit, Waren zu kaufen, die an bestimmten Orten von Abgaben und Verbrauchssteuern befreit sind.	Duty free shopping ist die Möglichkeit, Waren zu kaufen, die von Steuern und Verbrauchsteuern an bestimmten Orten befreit sind.	Duty-free shopping is the possibility to buy goods which are exempt from taxes and excise duties in certain places.
Travellers bound for countries with heavy taxation can sometimes save a considerable amount of money, especially on products such as alcoholic beverages and tobacco.	Reisende, deren Zielland eine hohe Besteuerung aufweist, können manchmal eine beträchtliche Menge an Geld sparen, insbesondere bei Produkten wie alkoholischen Getränken und Tabak.	Reisende, die für Länder mit hoher Besteuerung verpflichtet sind, können manchmal erhebliche Geldeinsparungen erzielen, insbesondere bei Produkten wie alkoholischen Getränken und Tabak.	Travellers whose destination country is subject to high taxation can sometimes save a considerable amount of money, especially in the case of products such as alcoholic beverages and tobacco.
The stretch between Point Marion and Fairmont presents the most challenging driving conditions on the Buffalo-Pittsburgh Highway, passing frequently through isolated backwoods terrain.	Der Abschnitt zwischen Point Marion und Fairmount auf dem Highway Buffalo-Pittsburgh ist die wohl größte fahrerische Herausforderung, da er häufig durch entlegenes, unerschlossenes Gelände führt.	Die Strecke zwischen Point Marion und Fairmont stellt die anspruchsvollsten Fahrbedingungen auf dem Buffalo-Pittsburgh Highway dar, der häufig durch isolierte Hinterwälder führt.	The section between Point Marion and Fairmount on Highway Buffalo-Pittsburgh is probably the biggest driving challenge, as it often leads through remote, undeveloped terrain.
If you're not used to driving on country roads, keep your wits about you: steep grades, narrow lanes, and sharp curves predominate.	Wenn Sie es nicht gewohnt sind, auf Landstraßen zu fahren, bleiben Sie achtsam: steiles Gefälle, enge Fahrbahnen und scharfe Kurven überwiegen hier.	Wenn Sie nicht gewohnt sind, auf Landstraßen zu fahren, halten Sie Ihren Verstand über Sie: steile Noten, schmale Gassen und scharfe Kurven dominieren.	If you are not used to driving on country roads, stay mindful: steep gradients, narrow lanes and sharp curves prevail here.
Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.	Die angegebenen Geschwindigkeitsbegrenzungen sind merklich niedriger als in den vorhergehenden und nachfolgenden Abschnitten - in der Regel 35-40 mph (56-64 km/h) - und ihre strikte Einhaltung ist noch wichtiger als sonst.	Gepostete Geschwindigkeitsbegrenzungen sind deutlich niedriger als in früheren und nachfolgenden Abschnitten — häufig 35-40 mph (56-64 km/h) — und strenger Gehorsam ist ihnen noch wichtiger als sonst.	The specified speed limits are noticeably lower than in the previous and subsequent sections - usually 35-40 mph (56-64 km/h) - and their strict compliance is even more important than usual.
Curiously, though, mobile phone service is much stronger here than along many other stretches of the route, e.g. the Pennsylvania Wilds.	Doch interessanterweise ist die Mobilfunkabdeckung hier viel besser als in vielen anderen Bereichen der Strecke, z. B. den Pennsylvania Wilds.	Seltsamerweise ist aber der Mobilfunkdienst hier viel stärker als an vielen anderen Streckenabschnitten, z.B. den Pennsylvania Wilds.	But interestingly, the mobile coverage here is much better than in many other areas of the route, such as the Pennsylvania Wilds.
German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.	Deutsche Backwaren sind recht lecker. In Bayern sind sie recht gehaltvoll und abwechslungsreich, ebenso wie beim südlichen Nachbarn Österreich.	Deutsches Gebäck ist ziemlich gut, und in Bayern, sind ziemlich reich und abwechslungsreich, ähnlich wie die ihrer südlichen Nachbarn, Österreich.	German baked goods are quite tasty. In Bavaria they are quite rich and varied, as well as in the southern neighbour Austria.
Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.	Obstgebäck ist weit verbreitet, wobei Äpfel das ganze Jahr über zu Gebäck verkocht werden und Kirschen und Pflaumen im Sommer verwendet werden.	Obstgebäck ist üblich, mit Äpfeln gekocht zu Gebäck das ganze Jahr über, und Kirschen und Pflaumen machen ihren Auftritt im Sommer.	Fruit biscuits are widely used, with apples being cooked all year round for pastries and cherries and plums being used in summer.
Many German baked goods also feature almonds, hazelnuts, and other tree nuts. Popular cakes often pair particularly well with a cup of strong coffee.	Viele deutsche Backwaren beinhalten außerdem Mandeln, Haselnüsse oder andere Nüsse. Beliebte Kuchen passen häufig besonders gut zu einer Tasse starken Kaffees.	Viele deutsche Backwaren verfügen auch über Mandeln, Haselnüsse und andere Nüsse. Beliebte Kuchen paaren sich oft besonders gut mit einer Tasse starken Kaffee.	Many German baked goods also include almonds, hazelnuts or other nuts. Popular cakes often fit particularly well with a cup of strong coffee.
If you want some small though rich pastries, try what depending on region are called Berliner, Pfannkuchen or Krapfen.	Wenn Sie kleine, aber reichhaltige Backwaren herstellen wollen, dann probieren Sie das, was je nach Region als Berliner, Pfannkuchen oder Krapfen bezeichnet wird.	Wenn Sie kleine, aber reiche Backwaren wollen, probieren Sie, was je nach Region Berliner, Pfannenkuchen oder Krapfen heißt.	If you want to produce small, but rich baked goods, try what is called Berlin, pancakes or doughnuts depending on the region.
A curry is a dish based on herbs and spices, together with either meat or vegetables.	Ein Curry ist ein Gericht, das auf Kräutern und Gewürzen basiert, zusammen mit entweder Fleisch oder Gemüse.	Ein Curry ist ein Gericht auf der Grundlage von Kräutern und Gewürzen, zusammen mit Fleisch oder Gemüse.	A curry is a dish based on herbs and spices, along with either meat or vegetables.
A curry can be either "dry" or "wet" depending on the amount of liquid.	Ein Curry kann abhängig von der Flüssigkeitsmenge entweder „trocken“ oder „feucht“ sein.	Ein Curry kann je nach Flüssigkeitsmenge entweder "trocken" oder "feucht" sein.	A curry can be either "dry" or "wet" depending on the amount of liquid.
In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent, coconut milk is commonly used.	Im Landesinneren Nordindiens und Pakistans wird Joghurt üblicherweise in Currys verwendet; in Südindien und einigen anderen Küstenregionen des Subkontinents wird üblicherweise Kokosmilch verwendet.	In den Binnenregionen Nordindiens und Pakistans wird Joghurt häufig in Curries verwendet; in Südindien und einigen anderen Küstenregionen des Subkontinents wird Kokosmilch häufig verwendet.	In the interior of northern India and Pakistan, yogurt is usually used in curries; in southern India and some other coastal regions of the subcontinent, coconut milk is usually used.
With 17,000 islands to choose from, Indonesian food is an umbrella term covering a vast variety of regional cuisines found across the nation.	Mit einer Auswahl von 17.000 Inseln ist indonesisches Essen ein Überbegriff, der eine große Vielfalt regionaler Küchen umfasst, die im ganzen Land zu finden sind.	Mit 17.000 Inseln zur Auswahl, indonesisches Essen ist ein Dachbegriff für eine Vielzahl von regionalen Küche in der ganzen Nation gefunden.	With a selection of 17,000 islands, Indonesian food is an umbrella that includes a wide variety of regional cuisines that can be found throughout the country.
But, if used without further qualifiers, the term tends to mean the food originally from the central and eastern parts of the main island Java.	Wird der Begriff jedoch ohne weitere Attribute verwendet, bezeichnet er in der Regel das Essen, das ursprünglich aus den zentralen und östlichen Teilen der Hauptinsel Java stammt.	Aber, wenn ohne weitere Qualifikatoren verwendet, der Begriff neigt dazu, das Essen ursprünglich aus dem zentralen und östlichen Teilen der Hauptinsel Java zu bedeuten.	However, if the term is used without further attributes, it usually refers to the food originally from the central and eastern parts of the main island of Java.
Now widely available throughout the archipelago, Javanese cuisine features an array of simply seasoned dishes, the predominant flavorings the Javanese favor being peanuts, chillies, sugar (especially Javanese coconut sugar) and various aromatic spices.	Die javanische Küche, die heute überall auf der Inselgruppe verbreitet ist, bietet eine Vielzahl von einfach gewürzten Gerichten. Als Geschmacksträger bevorzugen die Javaner dabei Erdnüsse, Chilis, Zucker (besonders javanischer Kokosblütenzucker) und eine Reihe von aromatischen Gewürzen.	Heute weit verbreitet im gesamten Archipel, Javanese Küche verfügt über eine Reihe von einfach gewürzten Gerichten, die vorherrschenden Aromen der Javanese bevorzugen Erdnüsse, Chilis, Zucker (insbesondere Javanese Kokoszucker) und verschiedene aromatische Gewürze.	The Javan cuisine, which is now widely used throughout the archipelago, offers a variety of simply spiced dishes. As flavor carriers, the Javans prefer peanuts, chilies, sugar (especially Javan coconut blossom sugar) and a range of aromatic spices.
Stirrups are supports for the rider's feet that hang down on either side of the saddle.	Steigbügel sind Hilfen für die Füße der Reiter, die auf beiden Seiten des Sattels herunterhängen.	Stirrups sind Stützen für die Füße des Fahrers, die auf beiden Seiten des Sattels hängen.	Stables are aids for the feet of the riders hanging down on both sides of the saddle.
They provide greater stability for the rider but can have safety concerns due to the potential for a rider's feet to get stuck in them.	Sie geben dem Reiter mehr Stabilität, aber es gibt Sicherheitsbedenken, weil sich die Füße des Reiters möglicherweise in ihnen verfangen können.	Sie sorgen für mehr Stabilität für den Fahrer, können aber Sicherheitsbedenken haben, da die Füße eines Fahrers in ihnen stecken bleiben können.	They give the rider more stability, but there are safety concerns, because the rider's feet may get caught in them.
If a rider is thrown from a horse but has a foot caught in the stirrup, they could be dragged if the horse runs away. To minimize this risk, a number of safety precautions can be taken.	Wenn ein Reiter vom Pferd fällt und sich mit dem Fuß am Steigbügel verfängt, kann er mitgeschleift werden, wenn das Pferd durchgeht. Um dieses Risiko so gering wie möglich zu halten, können eine Reihe von Sicherheitsvorkehrungen getroffen werden.	Wenn ein Reiter von einem Pferd geworfen wird, aber einen Fuß im Steigbügel gefangen hat, können sie gezerrt werden, wenn das Pferd wegläuft. Um dieses Risiko zu minimieren, können eine Reihe von Sicherheitsvorkehrungen getroffen werden.	If a rider falls off the horse and catches his foot at the stirrup, he can be dragged along when the horse passes through. To keep this risk as low as possible, a number of safety precautions can be taken.
First, most riders wear riding boots with a heel and a smooth, quite narrow, sole.	Zunächst einmal tragen die meisten Reiter Reitstiefel mit einem Absatz und einer glatten, recht schmalen Sohle.	Erstens tragen die meisten Fahrer Reitschuhe mit einem Absatz und einer glatten, recht schmalen Sohle.	First of all, most riders wear riding boots with a heel and a smooth, rather narrow sole.
Next, some saddles, particularly English saddles, have safety bars that allow a stirrup leather to fall off the saddle if pulled backwards by a falling rider.	Außerdem verfügen einige Sättel, insbesondere englische Sättel, über Sicherheitsbügel, die es ermöglichen, dass ein Steigbügelriemen vom Sattel fällt, sobald er von einem stürzenden Reiter nach hinten gezogen wird.	Als nächstes haben einige Sättel, vor allem englische Sättel, Sicherheitsbügel, die ein Steigbügelleder vom Sattel fallen lassen, wenn sie von einem fallenden Fahrer nach hinten gezogen werden.	In addition, some saddles, especially English saddles, have safety bars that allow a stirrup belt to fall off the saddle as soon as it is pulled backwards by a falling rider.
Cochamó Valley - Chile's premier climbing destination, known as the Yosemite of South America, with a variety of granite big walls and crags.	Das Cochamó-Tal – Chiles wichtigstes Kletterziel, bekannt als der Yosemite-Nationalpark von Südamerika, mit einer Vielzahl von großen Granitwänden und -klippen.	Cochamó Valley - Chiles führendes Kletterziel, bekannt als der Yosemite von Südamerika, mit einer Vielzahl von Granit großen Mauern und Klippen.	The Cochamó Valley – Chile's most important climbing destination, known as the Yosemite National Park of South America, with a variety of large granite walls and cliffs.
Summits include breath-taking views from peaks. Climbers from all parts of the world are continually establishing new routes amongst its endless potential of walls.	Die Gipfel bieten einen atemberaubenden Blick. Kletterer aus aller Welt entdecken immer wieder neue Routen entlang der Wände, die dafür endlose Möglichkeiten bieten.	Zu den Gipfeln gehören atemberaubende Ausblicke von Gipfeln. Kletterer aus allen Teilen der Welt etablieren ständig neue Routen inmitten ihres endlosen Potenzials an Mauern.	The summits offer a breathtaking view. Climbers from all over the world always discover new routes along the walls, which offer endless possibilities.
Downhill snowsports, which include skiing and snowboarding, are popular sports involving sliding down snow-covered terrain with skis or a snowboard attached to your feet.	Abfahrtssport wie Ski- und Snowboardfahren sind beliebte Sportarten, bei denen man Skier oder ein Snowboard an seinen Füßen befestigt und über einen schneebedeckten Untergrund einen Abhang hinabfährt.	Downhill-Schneesportarten, zu denen Ski- und Snowboardsport gehören, sind beliebte Sportarten, bei denen schneebedecktes Gelände mit Skiern oder einem an den Füßen befestigten Snowboard nach unten rutscht.	Skiing, such as skiing and snowboarding, are popular sports where you attach skis or a snowboard to your feet and descend a slope over a snow-covered ground.
Skiing is a major travelling activity with many enthusiasts, occasionally known as "ski bums," planning entire vacations around skiing at a particular location.	Skifahren ist eine beliebte Reisetätigkeit mit vielen Enthusiasten, gelegentlich auch als „Skipenner“ bekannt, die ihren gesamten Urlaub rund um das Skifahren an einem bestimmten Ort planen.	Skifahren ist eine große Reiseaktivität mit vielen Enthusiasten, gelegentlich als "Ski-Bums" bekannt, die ganze Ferien rund um das Skifahren an einem bestimmten Ort planen.	Skiing is a popular activity with many enthusiasts, sometimes also known as "skipenners", who plan their entire holiday around skiing in a particular place.
The idea of skiing is very old — cave paintings depicting skiers date back as far as 5000 BC!	Die Idee des Skifahrens ist sehr alt – Höhlenmalereien mit Darstellungen von Skifahrern gehen bis 5000 v. Chr. zurück!	Die Idee des Skifahrens ist sehr alt — Höhlenmalereien, die Skifahrer darstellen, gehen bis 5000 v. Chr. zurück!	The idea of skiing is very old – cave paintings with depictions of skiers go back to 5000 BC!
Downhill skiing as a sport goes back to at least the 17th century, and in 1861 the first recreational ski club was opened by Norwegians in Australia.	Die Ursprünge der Skiabfahrt als Sport gehen mindestens bis ins 17. Jahrhundert zurück und 1861 wurde der erste Freizeit-Skiclub in Australien von Norwegern eröffnet.	Der Abfahrtsskisport geht auf mindestens das 17. Jahrhundert zurück, und 1861 wurde der erste Freizeitskiclub von Norwegern in Australien eröffnet.	The origins of ski descent as a sport date back at least to the 17th century and in 1861 the first leisure ski club in Australia was opened by Norwegians.
Backpacking by ski: This activity is also called backcountry ski, ski touring or ski hiking.	Skiwandern mit Rucksack: Diese Aktivität wird auch Skitourengehen oder Skiwandern genannt.	Backpacking per Ski: Diese Aktivität wird auch Backcountry-Ski, Skitouren oder Skiwandern genannt.	Ski hiking with backpack: This activity is also called ski touring or skiing.
It is related to but usually not involving alpine style ski touring or mountaineering, the latter ones done in steep terrain and requiring much stiffer skis and boots.	Es ähnelt alpinem Tourenskilauf bzw. Bergsteigen, beinhaltet diese aber nicht unbedingt, da Letztere in steilem Gelände ausgeführt werden und viel festere Ski und Stiefel erfordern.	Es ist mit, aber in der Regel nicht mit alpinen Stil Skitouren oder Bergsteigen, die letzteren in steilem Gelände getan und erfordern viel steifer Skier und Stiefel.	It resembles alpine touring skiing or mountaineering, but does not necessarily include it, since the latter are carried out in steep terrain and require much more firmer skis and boots.
